Timestamp,Server_Workload(%),Inlet_Temperature(°C),Outlet_Temperature(°C),Ambient_Temperature(°C),Cooling_Unit_Power_Consumption(kW),Chiller_Usage(%),AHU_Usage(%),Total_Energy_Cost($),Temperature_Deviation(°C),Cooling_Strategy_Action,Output
1/1/2025 0:00,100,24.72632282,28.46932387,21.42445351,0.98,94.20585897,45.46291099,0.09,2.58,Reduce AHU,1
1/1/2025 1:00,87.35899263,23.08526214,29.85436366,26.42027095,0.95,85.77699619,53.18585826,0.1,2.42,Eco Mode,4
1/1/2025 2:00,19.31379966,16.28879141,23.38184601,21.45217188,0.43,28.14867183,40.83346932,0.06,2.55,Eco Mode,4
1/1/2025 3:00,41.40667955,19.21728024,24.32369858,19.20041197,0.61,49.30022745,42.49092164,0.08,4.8,Boost All,3
1/1/2025 4:00,49.51488857,19.99173998,23.20554344,26.76850316,0.69,49.65612687,58.10088983,0.1,2.77,Eco Mode,4
1/1/2025 5:00,50.2218959,19.07344369,22.23734716,27.58365462,0.69,49.05233143,58.55161088,0.07,3.58,Boost All,3
1/1/2025 6:00,36.09672537,18.6558436,23.0074727,18,0.5,40.12962584,35.5627641,0.06,6,Maintain,2
1/1/2025 7:00,53.26393549,19.47800594,22.65609862,23.43123662,0.7,59.68979064,45.39935453,0.09,0.57,Boost All,3
1/1/2025 8:00,95.95380399,24.5352178,33.83406111,23.86386676,0.96,93.7229344,42.84128757,0.13,0.14,Reduce AHU,1
1/1/2025 9:00,57.35860653,22.01576264,23.50859527,19.10193764,0.74,66.73633177,42.02489987,0.08,4.9,Increase Chiller,0
1/1/2025 10:00,74.41743773,23.01319278,28.13966425,20.7228736,0.83,75.74684655,45.47684258,0.08,3.28,Maintain,2
1/1/2025 11:00,79.66193956,21.58475198,26.48849019,22.55304598,0.81,73.86468739,43.04453184,0.11,1.45,Reduce AHU,1
1/1/2025 12:00,71.49806506,20.8576876,24.99244422,23.32205808,0.76,66.12665081,46.46230273,0.09,0.68,Boost All,3
1/1/2025 13:00,58.50918952,19.69343619,20.74086224,23.15908099,0.63,53.09316342,41.49160669,0.09,0.84,Eco Mode,4
1/1/2025 14:00,56.86160473,20.51722762,23.75737138,22.77300732,0.66,52.34188916,48.59020552,0.1,1.23,Eco Mode,4
1/1/2025 15:00,11.5967858,15.75982272,20.28165214,21.15239258,0.39,20,46.02122575,0.05,2.85,Eco Mode,4
1/1/2025 16:00,48.9732488,21.08141035,25.76286382,24.14288188,0.71,57.37442954,49.22380132,0.07,0.14,Eco Mode,4
1/1/2025 17:00,37.95636854,18.11304161,27.37885341,24.17417043,0.57,40.17749976,49.80962659,0.05,0.17,Reduce AHU,1
1/1/2025 18:00,52.64460171,19.64880835,28.88431644,23.40127312,0.62,48.90448245,45.9204403,0.09,0.6,Increase Chiller,0
1/1/2025 19:00,80.14384229,25.13382453,28.97398397,25.78377416,0.94,88.78044076,46.72157776,0.09,1.78,Reduce AHU,1
